Country,Total,lon,lat
Afghanistan,2,67.709953,33.93911
Albania,0,20.168331,41.153332
Algeria,11,1.659626,28.033886
American Samoa,0,-170.132217,-14.270972
Andorra,0,1.601554,42.546245
Angola,0,17.873887,-11.202692
Argentina,23,-63.616672,-38.416097
Armenia,12,45.038189,40.069099
Aruba,0,-69.968338,12.52111
Australia,230,133.775136,-25.274398
Austria,16,14.550072,47.516231
Azerbaijan,26,47.576927,40.143105
Bahamas,9,-77.39628,25.03428
Bahrain,1,50.637772,25.930414
Bangladesh,0,90.356331,23.684994
Barbados,1,-59.543198,13.193887
Belarus,75,27.953389,53.709807
Belgium,19,4.469936,50.503887
Belize,0,-88.49765,17.189877
Benin,0,2.315834,9.30769
Bermuda,0,-64.75737,32.321384
Bhutan,0,90.433601,27.514162
Bolivia,0,-63.588653,-16.290154
Botswana,1,24.684866,-22.328474
Brazil,69,-51.92528,-14.235004
Brunei,0,114.727669,4.535277
Bulgaria,47,25.48583,42.733883
Burundi,1,29.918886,-3.373056
Cambodia,0,104.990963,12.565679
Cameroon,3,12.354722,7.369722
Canada,85,-106.346771,56.130366
Cayman Islands,0,-80.566956,19.513469
Central African Republic,0,20.939444,6.611111
Chad,0,18.732207,15.454166
Chile,5,-71.542969,-35.675147
China,359,104.195397,35.86166
Colombia,13,-74.297333,4.570868
Comoros,0,43.872219,-11.875001
Cook Islands,0,-159.777671,-21.236736
Croatia,20,15.2,45.1
Cuba,119,-77.781167,21.521757
Cyprus,1,33.429859,35.126413
Denmark,36,9.501785,56.26392
Djibouti,0,42.590275,11.825138
Dominica,0,-61.370976,15.414999
Dominican Republic,5,-70.162651,18.735693
Ecuador,2,-78.183406,-1.831239
Egypt,8,30.802498,26.820553
Equatorial Guinea,0,10.267895,1.650801
Estonia,10,25.013607,58.595272
Ethiopia,32,40.489673,9.145
Fiji,0,179.414413,-16.578193
Finland,17,25.748151,61.92411
France,184,2.213749,46.227638
Gabon,1,11.609444,-0.803689
Gambia,0,-15.310139,13.443182
Germany,255,10.451526,51.165691
Great Britain,185,-3.435973,55.378051
Ghana,0,-1.023194,7.946527
Greece,43,21.824312,39.074208
Grenada,1,-61.604171,12.262776
Guatemala,1,-90.230759,15.783471
Guinea,0,-9.696645,9.945587
Guyana,0,-58.93018,4.860416
Haiti,0,-72.285215,18.971187
Honduras,0,-86.241905,15.199999
Hong Kong,3,114.109497,22.396428
Hungary,83,19.503304,47.162494
Iceland,2,-19.020835,64.963051
India,12,78.96288,20.593684
Indonesia,21,113.921327,-0.789275
Iran,27,53.688046,32.427908
Iraq,0,43.679291,33.223191
Ireland,13,-8.24389,53.41291
